VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Latitude,Longitude
1FTBW9CK4P,King,Kirkland,WA,98034.0,2023,FORD,TRANSIT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.2026532,47.7210518
7FCTGAAA2N,King,Renton,WA,98059.0,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.134502,47.492627
JA4T5VA90P,Thurston,Olympia,WA,98502.0,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.943445,47.059252
5YJ3E1EB2K,King,Seattle,WA,98112.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.300312,47.629782
1G1FW6S02N,Thurston,Olympia,WA,98501.0,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.8733203,47.0133209
WP1AE2AY9L,Clark,Camas,WA,98607.0,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.4220033,45.6092439
JTMABACA1P,King,Kirkland,WA,98034.0,2023,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.2026532,47.7210518
JTMAB3FV9M,Clark,Ridgefield,WA,98642.0,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.6958231,45.804249
7G2CEHED2R,King,Renton,WA,98058.0,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1476337,47.4438471
KNDCC3LG6K,King,Redmond,WA,98052.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1207376,47.6705374
1G1FY6S06K,King,Seattle,WA,98109.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.3441532,47.6305366
1FTBW1YK4P,King,Seattle,WA,98104.0,2023,FORD,TRANSIT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.3276518,47.6018349
JN1AZ0CP3C,King,Seattle,WA,98125.0,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.304356,47.715668
5YJSA1AC2D,King,Covington,WA,98042.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1145138,47.3581107
3FMTK1RM6P,King,Kirkland,WA,98033.0,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1925969,47.676241
WAUTPBFF7J,King,Burien,WA,98146.0,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.3551826,47.5000521
